,대지위치,주용도코드명,자전거전용도로비율,stcnsDelayDay,실제착공일,지역코드명
597,서울특별시 강남구 개포동 1201번지,제1종근린생활시설, , , ,제2종일반주거지역
598,서울특별시 강남구 개포동 1201-7번지,공동주택,20200817, ,20200818,제2종일반주거지역
599,서울특별시 강남구 개포동 1203-1번지,공동주택, , , ,도시지역
600,서울특별시 강남구 개포동 1203-2번지,공동주택,20121231, ,20121224,도시지역
601,서울특별시 강남구 개포동 1204번지,업무시설, ,20090917, ,제2종일반주거지역
602,서울특별시 강남구 개포동 1204번지, , , , , 
603,서울특별시 강남구 개포동 1204번지,업무시설,20200413, ,20200611,제2종일반주거지역
604,서울특별시 강남구 개포동 1204-2번지,공동주택,20180410, ,20180417,제2종일반주거지역
605,서울특별시 강남구 개포동 1204-8번지, , , , ,제2종일반주거지역
606,서울특별시 강남구 개포동 1204-9번지, , , , ,제2종일반주거지역
607,서울특별시 강남구 개포동 1205번지, , , , , 
608,서울특별시 강남구 개포동 1205번지,공동주택,20170522, ,20170530,제2종일반주거지역
609,서울특별시 강남구 개포동 1205-1번지, , , , ,제2종일반주거지역
610,서울특별시 강남구 개포동 1205-1번지,공동주택,20111217, ,20111216,도시지역
611,서울특별시 강남구 개포동 1205-4번지, , , , , 
612,서울특별시 강남구 개포동 1205-4번지,공동주택,20150328, ,20150401,제2종일반주거지역
613,서울특별시 강남구 개포동 1205-5번지,제2종근린생활시설, , , ,제2종일반주거지역
614,서울특별시 강남구 개포동 1206번지, , , , , 
615,서울특별시 강남구 개포동 1206번지,공동주택,20160930, ,20161004,제2종일반주거지역
616,서울특별시 강남구 개포동 1206-2번지,공동주택,20150716, ,20150716,도시지역
617,서울특별시 강남구 개포동 1206-4번지,제2종근린생활시설,20110609, ,20110614,제2종일반주거지역
618,서울특별시 강남구 개포동 1207-11번지,제2종근린생활시설, , , ,제2종일반주거지역
619,서울특별시 강남구 개포동 1208번지, , , , , 
620,서울특별시 강남구 개포동 1208번지,공동주택,20151021, ,20151020,도시지역
621,서울특별시 강남구 개포동 1208-4번지,공동주택,20170217, ,20170220,제2종일반주거지역
622,서울특별시 강남구 개포동 1208-9번지,공동주택,20160310, ,20160309,제2종일반주거지역
623,서울특별시 강남구 개포동 1209-12번지,공동주택,20111013, ,20111013,제2종일반주거지역
624,서울특별시 강남구 개포동 1209-12번지,공동주택, , , ,제2종일반주거지역
625,서울특별시 강남구 개포동 1210번지,제1종근린생활시설, , , ,제2종일반주거지역
626,서울특별시 강남구 개포동 1210번지,단독주택,20140725, ,20140724,제2종일반주거지역
627,서울특별시 강남구 개포동 1210번지,공동주택,20220321, ,20220412,상대보호구역
628,서울특별시 강남구 개포동 1210-4번지,제2종근린생활시설, , , ,상대보호구역
629,서울특별시 강남구 개포동 1210-8번지,공동주택,20160804, ,20160809,제2종일반주거지역
630,서울특별시 강남구 개포동 1210-13번지,단독주택,20120314, ,20120316,제2종일반주거지역
631,서울특별시 강남구 개포동 1211-1번지,공동주택,20140808, ,20140806,도시지역
632,서울특별시 강남구 개포동 1211-7번지,공동주택,20150903,20150908,20150904,제2종일반주거지역
633,서울특별시 강남구 개포동 1211-9번지,공동주택,20160307, ,20160309,도시지역
634,서울특별시 강남구 개포동 1211-9번지,공동주택, , , ,상대보호구역
635,서울특별시 강남구 개포동 1212번지,업무시설, , , ,제2종일반주거지역
636,서울특별시 강남구 개포동 1212-1번지,업무시설,20090805, ,20090803, 
637,서울특별시 강남구 개포동 1212-1번지,제2종근린생활시설, , , ,제2종일반주거지역
638,서울특별시 강남구 개포동 1212-2번지,공동주택, , , ,제2종일반주거지역
639,서울특별시 강남구 개포동 1212-2번지,제2종근린생활시설, ,20240127, ,도시지역
640,서울특별시 강남구 개포동 1212-4번지,업무시설, , , ,도시지역
641,서울특별시 강남구 개포동 1213번지, , , , , 
642,서울특별시 강남구 개포동 1213번지,공동주택,20151005, ,20151006,제2종일반주거지역
643,서울특별시 강남구 개포동 1213-1번지,공동주택, , , ,제2종일반주거지역
644,서울특별시 강남구 개포동 1213-4번지,제2종근린생활시설, , , ,상대보호구역
645,서울특별시 강남구 개포동 1213-8번지,제2종근린생활시설,20120427, ,20120425,제2종일반주거지역
646,서울특별시 강남구 개포동 1214-4번지,제2종근린생활시설, , , ,제2종일반주거지역
647,서울특별시 강남구 개포동 1214-7번지,제2종근린생활시설, , , ,제2종일반주거지역
648,서울특별시 강남구 개포동 1215-4번지, , , , , 
649,서울특별시 강남구 개포동 1215-4번지,제2종근린생활시설,20191201, ,20191119,제2종일반주거지역
650,서울특별시 강남구 개포동 1216-4번지,공동주택,20120410, ,20120419,도시지역
651,서울특별시 강남구 개포동 1216-6번지,공동주택,20220613, ,20220614,제2종일반주거지역
652,서울특별시 강남구 개포동 1216-7번지, , , , , 
653,서울특별시 강남구 개포동 1216-7번지,공동주택,20190717, ,20190723,제2종일반주거지역
654,서울특별시 강남구 개포동 1217-1번지,제2종근린생활시설, , , ,제2종일반주거지역
655,서울특별시 강남구 개포동 1217-1번지,제2종근린생활시설, , , ,제2종일반주거지역
656,서울특별시 강남구 개포동 1217-4번지,제2종근린생활시설,20040529, ,20050407,제2종일반주거지역
657,서울특별시 강남구 개포동 1217-4번지,제2종근린생활시설, , , ,제2종일반주거지역
658,서울특별시 강남구 개포동 1218-11번지,공동주택,20210526, ,20210531,도시지역
659,서울특별시 강남구 개포동 1218-12번지, , , , , 
660,서울특별시 강남구 개포동 1218-12번지,공동주택,20180717, ,20180712,상대보호구역
661,서울특별시 강남구 개포동 1218-17번지, , , , , 
662,서울특별시 강남구 개포동 1218-17번지,공동주택,20181017, ,20181022,제2종일반주거지역
663,서울특별시 강남구 개포동 1218-19번지,공동주택,20130322, ,20130319,제2종일반주거지역
664,서울특별시 강남구 개포동 1218-21번지,제2종근린생활시설, , , ,제2종일반주거지역
665,서울특별시 강남구 개포동 1219-3번지,단독주택,20120525,20121003,20120529,도시지역
666,서울특별시 강남구 개포동 1219-3번지,공동주택,20120901, ,20120830,도시지역
667,서울특별시 강남구 개포동 1219-3번지, , , , ,제2종일반주거지역
